,id,thread_title,reply_split,classification,reply_sub,reply_words,entity,entity_locs,spin,speed,hardness,tackiness,weight,control,throw angle,durability,blocking,looping,throw,specific_aspects_cnt,g_comparative_word_begin_idx,g_comparative,g_comparative_words,comparative_word_begin_idx,comparative,comparative_words,comparative_aspects
10848,5f6c3795220a4650ffffddb6,Looking for replacement of expensive euro/jap top rubbers,Quattro is a built - in rubber that comes in several sponge hardnesses.,descriptive,Donic-Quattro is a built - in rubber that comes in several sponge hardnesses.,"['Donic-Quattro', 'is', 'a', 'built', '-', 'in', 'rubber', 'that', 'comes', 'in', 'several', 'sponge', 'hardnesses', '.']",['Donic-Quattro'],[0],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
10855,5f6c3795220a4650ffffddb6,Looking for replacement of expensive euro/jap top rubbers,"With Raystorm, a rubber very similar to 802-40, my backhand loops are more effective than they ever were with inverted.",descriptive,"With Raystorm, a rubber very similar to 802-40, my backhand loops are more effective than they ever were with inverted.","['With', 'Raystorm', ',', 'a', 'rubber', 'very', 'similar', 'to', '802-40', ',', 'my', 'backhand', 'loops', 'are', 'more', 'effective', 'than', 'they', 'ever', 'were', 'with', 'inverted', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[70, 29]","['greater', 'equal']","['more', 'similar']",[],[],[],[]
10860,5f6c3795220a4650ffffddb6,Looking for replacement of expensive euro/jap top rubbers,"Since it is SP, it is great for blocking and flat hitting, and it has a nice feel for pushing once you get the technique of it.However, if you are mainly a chopper, forget it.",descriptive,"Since it is SP, it is great for blocking and flat hitting, and it has a nice feel for pushing once you get the technique of it.However, if you are mainly a chopper, forget it.","['Since', 'it', 'is', 'SP', ',', 'it', 'is', 'great', 'for', 'blocking', 'and', 'flat', 'hitting', ',', 'and', 'it', 'has', 'a', 'nice', 'feel', 'for', 'pushing', 'once', 'you', 'get', 'the', 'technique', 'of', 'it.However', ',', 'if', 'you', 'are', 'mainly', 'a', 'chopper', ',', 'forget', 'it', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,[],[],[],[],[],[],[]
10899,5f6c3795220a4650ffffddb6,Looking for replacement of expensive euro/jap top rubbers,These rubbers aren't so offensive especially catapult.,descriptive,These rubbers aren't so offensive especially catapult.,"['These', 'rubbers', 'are', ""n't"", 'so', 'offensive', 'especially', 'catapult', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
10900,5f6c3795220a4650ffffddb6,Looking for replacement of expensive euro/jap top rubbers,They are offensive type rubbers but not a top one.,descriptive,They are offensive type rubbers but not a top one.,"['They', 'are', 'offensive', 'type', 'rubbers', 'but', 'not', 'a', 'top', 'one', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
10910,5f6c379c220a4650ffffddba,Hurricane 3 or Skyline 3 for Defense?,"I've never actually tried the skyline 3, but I don't belive it's that lively.",descriptive,"I've never actually tried the DHS-Skyline 3, but I don't belive it's that lively.","['I', ""'ve"", 'never', 'actually', 'tried', 'the', 'DHS-Skyline', '3', ',', 'but', 'I', 'do', ""n't"", 'belive', 'it', ""'s"", 'that', 'lively', '.']",['DHS-Skyline'],[31],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
10914,5f6c379c220a4650ffffddba,Hurricane 3 or Skyline 3 for Defense?,XP is very very soft.,descriptive,XP is very very soft.,"['XP', 'is', 'very', 'very', 'soft', '.']",[],[],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
10915,5f6c379c220a4650ffffddba,Hurricane 3 or Skyline 3 for Defense?,It's very very slow when unglued but has amazing sound and spin when glued with respectable speed.,descriptive,It's very very slow when unglued but has amazing sound and spin when glued with respectable speed.,"['It', ""'s"", 'very', 'very', 'slow', 'when', 'unglued', 'but', 'has', 'amazing', 'sound', 'and', 'spin', 'when', 'glued', 'with', 'respectable', 'speed', '.']",[],[],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[16],['less'],['low'],[15],['less'],['slow'],['speed']
10916,5f6c379c220a4650ffffddba,Hurricane 3 or Skyline 3 for Defense?,"For chopping, though, it's not great.",descriptive,"For chopping, though, it's not great.","['For', 'chopping', ',', 'though', ',', 'it', ""'s"", 'not', 'great', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
10923,5f6c37b6220a4650ffffddca,H2/H3 blue sponge compared to Globe 999 Nat?,I have tried the DHS H2 Blue Sponge and it's a strange rubber.,descriptive,I have tried the DHS-Hurricane-2 Blue Sponge and it's a strange rubber.,"['I', 'have', 'tried', 'the', 'DHS-Hurricane-2', 'Blue', 'Sponge', 'and', 'it', ""'s"", 'a', 'strange', 'rubber', '.']",['DHS-Hurricane-2'],[17],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
10924,5f6c37b6220a4650ffffddca,H2/H3 blue sponge compared to Globe 999 Nat?,The first few sessions I really liked it for serving and super spinny loopdriving.,descriptive,The first few sessions I really liked it for serving and super spinny loopdriving.,"['The', 'first', 'few', 'sessions', 'I', 'really', 'liked', 'it', 'for', 'serving', 'and', 'super', 'spinny', 'loopdriving', '.']",[],[],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[63],['greater'],['spinny'],[],[],[],[]
10925,5f6c37b6220a4650ffffddca,H2/H3 blue sponge compared to Globe 999 Nat?,Smashing and hitting felt horrible.,descriptive,Smashing and hitting felt horrible.,"['Smashing', 'and', 'hitting', 'felt', 'horrible', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
10930,5f6c37b6220a4650ffffddca,H2/H3 blue sponge compared to Globe 999 Nat?,Dead blocking is really good.,descriptive,Dead blocking is really good.,"['Dead', 'blocking', 'is', 'really', 'good', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
10935,5f6c37b6220a4650ffffddca,H2/H3 blue sponge compared to Globe 999 Nat?,Generally though I have found the H3 to be pretty good at a nice loopy arc that drops down quickly at the end.,descriptive,Generally though I have found the DHS-Hurricane-3 to be pretty good at a nice loopy arc that drops down quickly at the end.,"['Generally', 'though', 'I', 'have', 'found', 'the', 'DHS-Hurricane-3', 'to', 'be', 'pretty', 'good', 'at', 'a', 'nice', 'loopy', 'arc', 'that', 'drops', 'down', 'quickly', 'at', 'the', 'end', '.']",['DHS-Hurricane-3'],[34],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
10937,5f6c37b6220a4650ffffddca,H2/H3 blue sponge compared to Globe 999 Nat?,The 999 Nat is on all wood with 755 on the other side so very light (140g).,descriptive,The 999 Nat is on all wood with 755 on the other side so very light (140g).,"['The', '999', 'Nat', 'is', 'on', 'all', 'wood', 'with', '755', 'on', 'the', 'other', 'side', 'so', 'very', 'light', '(', '140g', ')', '.']",[],[],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
10945,5f6c37b8220a4650ffffddcb,Andro Impuls /impuls Speed,"Hi,i am currently using this rubber in max on my fh and finding it really nice to play with and heaps of control and spin.",descriptive,"Hi,i am currently using this rubber in max on my fh and finding it really nice to play with and heaps of control and spin.","['Hi', ',', 'i', 'am', 'currently', 'using', 'this', 'rubber', 'in', 'max', 'on', 'my', 'fh', 'and', 'finding', 'it', 'really', 'nice', 'to', 'play', 'with', 'and', 'heaps', 'of', 'control', 'and', 'spin', '.']",[],[],1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,[],[],[],[],[],[],[]
10947,5f6c37b8220a4650ffffddcb,Andro Impuls /impuls Speed,it is a soft feeling rubber that matches nicely to a hard/fast blade.,descriptive,it is a soft feeling rubber that matches nicely to a hard/fast blade.,"['it', 'is', 'a', 'soft', 'feeling', 'rubber', 'that', 'matches', 'nicely', 'to', 'a', 'hard/fast', 'blade', '.']",[],[],0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[],[],[],[],[],[],[]
10948,5f6c37b8220a4650ffffddcb,Andro Impuls /impuls Speed,blocking is also very good.,descriptive,blocking is also very good.,"['blocking', 'is', 'also', 'very', 'good', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
10964,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,They're really bouncy you would be better of with something like Hammond X or something.,descriptive,They're really bouncy you would be better of with something like Hammond X or something.,"['They', ""'re"", 'really', 'bouncy', 'you', 'would', 'be', 'better', 'of', 'with', 'something', 'like', 'Hammond', 'X', 'or', 'something', '.']",[],[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[35],['greater'],['better'],[],[],[],[]
10968,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,The RITC 802-40 is different than any other rubber I have tried.,descriptive,The RITC 802-40 is different than any other rubber I have tried.,"['The', 'RITC', '802-40', 'is', 'different', 'than', 'any', 'other', 'rubber', 'I', 'have', 'tried', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
10976,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,(my experience)i'm trying out red Sriver G2-FX on my H.King BH & it feels light too.,descriptive,(my experience)i'm trying out red Butterfly-Sriver-G2-FX on my H.King BH & it feels light too.,"['(', 'my', 'experience', ')', 'i', ""'m"", 'trying', 'out', 'red', 'Butterfly-Sriver-G2-FX', 'on', 'my', 'H.King', 'BH', '&', 'it', 'feels', 'light', 'too', '.']",['Butterfly-Sriver-G2-FX'],[38],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
10977,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,"i think its good for RPB.tho its soft, its not weak nor too bouncy.",descriptive,"i think its good for RPB.tho its soft, its not weak nor too bouncy.","['i', 'think', 'its', 'good', 'for', 'RPB.tho', 'its', 'soft', ',', 'its', 'not', 'weak', 'nor', 'too', 'bouncy', '.']",[],[],0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,"[56, 12]","['less', 'greater']","['too ', 'good for']",[],[],[],[]
10986,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,Cermet felt pretty light to me.,descriptive,Butterfly-Cermet felt pretty light to me.,"['Butterfly-Cermet', 'felt', 'pretty', 'light', 'to', 'me', '.']",['Butterfly-Cermet'],[0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
10987,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,"Also, although it's really fast and fairly bouncy, I loved using a thinner sheet of Juic Varites on RPB (I used 1.8, but I think even 1.5 would be fast enough).",descriptive,"Also, although it's really fast and fairly bouncy, I loved using a thinner sheet of Juic Varites on RPB (I used 1.8, but I think even 1.5 would be fast enough).","['Also', ',', 'although', 'it', ""'s"", 'really', 'fast', 'and', 'fairly', 'bouncy', ',', 'I', 'loved', 'using', 'a', 'thinner', 'sheet', 'of', 'Juic', 'Varites', 'on', 'RPB', '(', 'I', 'used', '1.8', ',', 'but', 'I', 'think', 'even', '1.5', 'would', 'be', 'fast', 'enough', ')', '.']",[],[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
10988,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,It's featherlight and can generate pretty good spin.,descriptive,It's featherlight and can generate pretty good spin.,"['It', ""'s"", 'featherlight', 'and', 'can', 'generate', 'pretty', 'good', 'spin', '.']",[],[],1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[],[],[],[],[],[],[]
10992,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,Mambo C is okay weight-wise but slippery and a little low throw unglued.,descriptive,JOOLA-Mambo-C is okay weight-wise but slippery and a little low throw unglued.,"['JOOLA-Mambo-C', 'is', 'okay', 'weight-wise', 'but', 'slippery', 'and', 'a', 'little', 'low', 'throw', 'unglued', '.']",['JOOLA-Mambo-C'],[0],0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,[54],['less'],['low'],[],[],[],[]
10997,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,cermet is quite light.,descriptive,Butterfly-Cermet is quite light.,"['Butterfly-Cermet', 'is', 'quite', 'light', '.']",['Butterfly-Cermet'],[0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
10999,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,"I've been using TSP Brio for RPB, which has good speed, but I'd like something with more spin.",descriptive,"I've been using TSP Brio for RPB, which has good speed, but I'd like something with more spin.","['I', ""'ve"", 'been', 'using', 'TSP', 'Brio', 'for', 'RPB', ',', 'which', 'has', 'good', 'speed', ',', 'but', 'I', ""'d"", 'like', 'something', 'with', 'more', 'spin', '.']",[],[],1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[84],['greater'],['more'],[84],['greater'],['more spin'],['spin']
11000,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,"Sriver series is a good choice too, however I want to avoid gluing.",descriptive,"Butterfly-Sriver series is a good choice too, however I want to avoid gluing.","['Butterfly-Sriver', 'series', 'is', 'a', 'good', 'choice', 'too', ',', 'however', 'I', 'want', 'to', 'avoid', 'gluing', '.']",['Butterfly-Sriver'],[0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
11003,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,"Throw is medium, so you might need some adjusting to keep your shots on the table at first.",descriptive,"Throw is medium, so you might need some adjusting to keep your shots on the table at first.","['Throw', 'is', 'medium', ',', 'so', 'you', 'might', 'need', 'some', 'adjusting', 'to', 'keep', 'your', 'shots', 'on', 'the', 'table', 'at', 'first', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
11011,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,Cermet is pretty light.,descriptive,Butterfly-Cermet is pretty light.,"['Butterfly-Cermet', 'is', 'pretty', 'light', '.']",['Butterfly-Cermet'],[0],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
11012,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,Hammond X is very light.,descriptive,Hammond X is very light.,"['Hammond', 'X', 'is', 'very', 'light', '.']",[],[],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
11014,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,It's very light and not really all that bouncy from what I remember.,descriptive,It's very light and not really all that bouncy from what I remember.,"['It', ""'s"", 'very', 'light', 'and', 'not', 'really', 'all', 'that', 'bouncy', 'from', 'what', 'I', 'remember', '.']",[],[],0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[],[],[],[],[],[],[]
11015,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,"I've never played it right out of the package, but it's very very light.",descriptive,"I've never played it right out of the package, but it's very very light.","['I', ""'ve"", 'never', 'played', 'it', 'right', 'out', 'of', 'the', 'package', ',', 'but', 'it', ""'s"", 'very', 'very', 'light', '.']",[],[],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
11021,5f6c37d3220a4650ffffdddd,Moristo 2000 or Yasaka XTend,"Cermet is a very nice rubber i have been using it yesterday and today, its fast and spinny, but i also find it easy to control its very good for slow heavy spin looping and very good for driving its good close to the table and away from the table, The topsheet is kinda grippy and its OK for serving i don't usually flat hit much so i can't comment on that aspect asr1990",descriptive,"Butterfly-Cermet is a very nice rubber i have been using it yesterday and today, its fast and spinny, but i also find it easy to control its very good for slow heavy spin looping and very good for driving its good close to the table and away from the table, The topsheet is kinda grippy and its OK for serving i don't usually flat hit much so i can't comment on that aspect asr1990","['Butterfly-Cermet', 'is', 'a', 'very', 'nice', 'rubber', 'i', 'have', 'been', 'using', 'it', 'yesterday', 'and', 'today', ',', 'its', 'fast', 'and', 'spinny', ',', 'but', 'i', 'also', 'find', 'it', 'easy', 'to', 'control', 'its', 'very', 'good', 'for', 'slow', 'heavy', 'spin', 'looping', 'and', 'very', 'good', 'for', 'driving', 'its', 'good', 'close', 'to', 'the', 'table', 'and', 'away', 'from', 'the', 'table', ',', 'The', 'topsheet', 'is', 'kinda', 'grippy', 'and', 'its', 'OK', 'for', 'serving', 'i', 'do', ""n't"", 'usually', 'flat', 'hit', 'much', 'so', 'i', 'ca', ""n't"", 'comment', 'on', 'that', 'aspect', 'asr1990']",['Butterfly-Cermet'],[0],1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,"[146, 136, 84, 204]","['less', 'greater', 'greater', 'equal']","['low', 'good for', 'spinny', 'close to']",[155],['less'],['slow'],['speed']
11058,5f6c37d6220a4650ffffddde,similar to sriver or mark V,is is supposed to be a desto f2 clone which is superfast ...,descriptive,is is supposed to be a Donic-Desto-F2 clone which is superfast ...,"['is', 'is', 'supposed', 'to', 'be', 'a', 'Donic-Desto-F2', 'clone', 'which', 'is', 'superfast', '...']",['Donic-Desto-F2'],[23],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
11064,5f6c37d6220a4650ffffddde,similar to sriver or mark V,"Cream MRS is slower, medium tacky sheet.",descriptive,"Cream MRS is slower, medium tacky sheet.","['Cream', 'MRS', 'is', 'slower', ',', 'medium', 'tacky', 'sheet', '.']",[],[],0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[14],['less'],['low'],[13],['less'],['slower'],['speed']
11075,5f6c37d6220a4650ffffddde,similar to sriver or mark V,If someone is learning how to loop then Tagora is your rubber of choice because it has dwell and not that fast i.e.,descriptive,If someone is learning how to loop then Tagora is your rubber of choice because it has dwell and not that fast i.e.,"['If', 'someone', 'is', 'learning', 'how', 'to', 'loop', 'then', 'Tagora', 'is', 'your', 'rubber', 'of', 'choice', 'because', 'it', 'has', 'dwell', 'and', 'not', 'that', 'fast', 'i.e', '.']",[],[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
11076,5f6c37d6220a4650ffffddde,similar to sriver or mark V,the ball does not come off the rubber to quickly.,descriptive,the ball does not come off the rubber to quickly.,"['the', 'ball', 'does', 'not', 'come', 'off', 'the', 'rubber', 'to', 'quickly', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
11077,5f6c37d6220a4650ffffddde,similar to sriver or mark V,"It does not smash well and you need to put topspin on any ball you hit with Tagora.It's a VERY light rubber a Tagora Max cut to my blade is 41 grams vs a sriver fx 1.9 is 47 grams,it has a very elastic topsheet and a fairly high throw.",descriptive,"It does not smash well and you need to put topspin on any ball you hit with Tagora.It's a VERY light rubber a Tagora Max cut to my blade is 41 grams vs a Butterfly-Sriver-FX 1.9 is 47 grams,it has a very elastic topsheet and a fairly high throw.","['It', 'does', 'not', 'smash', 'well', 'and', 'you', 'need', 'to', 'put', 'topspin', 'on', 'any', 'ball', 'you', 'hit', 'with', 'Tagora.It', ""'s"", 'a', 'VERY', 'light', 'rubber', 'a', 'Tagora', 'Max', 'cut', 'to', 'my', 'blade', 'is', '41', 'grams', 'vs', 'a', 'Butterfly-Sriver-FX', '1.9', 'is', '47', 'grams', ',', 'it', 'has', 'a', 'very', 'elastic', 'topsheet', 'and', 'a', 'fairly', 'high', 'throw', '.']",['Butterfly-Sriver-FX'],[155],0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,[],[],[],[],[],[],[]
11086,5f6c37d6220a4650ffffddde,similar to sriver or mark V,JO is quite good as well as an alternative.,descriptive,JO is quite good as well as an alternative.,"['JO', 'is', 'quite', 'good', 'as', 'well', 'as', 'an', 'alternative', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
11090,5f6c37d6220a4650ffffddde,similar to sriver or mark V,Its got a Stiga style thin topsheet and wears out pretty quick compared to the Sriver/MarkVNo idea on the Dipper's but the Focus 1 is something to at.,descriptive,Its got a Stiga style thin topsheet and wears out pretty quick compared to the Butterfly-Sriver/MarkVNo idea on the DHS-Dipper's but the Focus 1 is something to at.,"['Its', 'got', 'a', 'Stiga', 'style', 'thin', 'topsheet', 'and', 'wears', 'out', 'pretty', 'quick', 'compared', 'to', 'the', 'Butterfly-Sriver/MarkVNo', 'idea', 'on', 'the', 'DHS-Dipper', ""'s"", 'but', 'the', 'Focus', '1', 'is', 'something', 'to', 'at', '.']",['DHS-Dipper'],[116],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
11094,5f6c37d6220a4650ffffddde,similar to sriver or mark V,"Well , I must add Sword King in 42 hardness - very bouncy and lively is a good replacement for Sriver in my opinion.",descriptive,"Well , I must add Sword King in 42 hardness - very bouncy and lively is a good replacement for Butterfly-Sriver in my opinion.","['Well', ',', 'I', 'must', 'add', 'Sword', 'King', 'in', '42', 'hardness', '-', 'very', 'bouncy', 'and', 'lively', 'is', 'a', 'good', 'replacement', 'for', 'Butterfly-Sriver', 'in', 'my', 'opinion', '.']",['Butterfly-Sriver'],[95],0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[],[],[],[],[],[],[]
11102,5f6c37d6220a4650ffffddde,similar to sriver or mark V,"[Edit: I've tried Sriver EL 2.1 now  Compared to Mendo 2.0, Sriver EL 2.1 seems to be firmer and gives a crisper contact.",descriptive,"[Edit: I've tried Butterfly-Sriver-EL 2.1 now  Compared to Stiga-Mendo 2.0, Butterfly-Sriver-EL 2.1 seems to be firmer and gives a crisper contact.","['[', 'Edit', ':', 'I', ""'ve"", 'tried', 'Butterfly-Sriver-EL', '2.1', 'now', 'Compared', 'to', 'Stiga-Mendo', '2.0', ',', 'Butterfly-Sriver-EL', '2.1', 'seems', 'to', 'be', 'firmer', 'and', 'gives', 'a', 'crisper', 'contact', '.']","['Butterfly-Sriver-EL', 'Stiga-Mendo', 'Butterfly-Sriver-EL']","[21, 61, 79]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[86],['greater'],['firmer'],[112],['greater'],['firmer'],['hardness']
11111,5f6c37de220a4650ffffdde3,Banda rubbers/Advice for a red Fh rubber?,Sigma is nice- Magna topsheet with Innova UL sponge.Banda is owned by Stiga and recycles their products to make new products.,descriptive,Sigma is nice- Stiga-Magna topsheet with Stiga-Innova UL sponge.Banda is owned by Stiga and recycles their products to make new products.,"['Sigma', 'is', 'nice-', 'Stiga-Magna', 'topsheet', 'with', 'Stiga-Innova', 'UL', 'sponge.Banda', 'is', 'owned', 'by', 'Stiga', 'and', 'recycles', 'their', 'products', 'to', 'make', 'new', 'products', '.']","['Stiga-Magna', 'Stiga-Innova']","[15, 41]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
11115,5f6c37de220a4650ffffdde3,Banda rubbers/Advice for a red Fh rubber?,"I quite liked these, though they weren't really corky enough for my liking.",descriptive,"I quite liked these, though they weren't really corky enough for my liking.","['I', 'quite', 'liked', 'these', ',', 'though', 'they', 'were', ""n't"", 'really', 'corky', 'enough', 'for', 'my', 'liking', '.']",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[]
11116,5f6c37de220a4650ffffdde3,Banda rubbers/Advice for a red Fh rubber?,"I sent my sheets to LawOCG, so hit him up for impressions when he recieves em.As for Omega 2, It's got a very grippy topsheet, softer topsheet than other tensors and a choice of sponges, depending on who you buy from.",descriptive,"I sent my sheets to LawOCG, so hit him up for impressions when he recieves em.As for Omega 2, It's got a very grippy topsheet, softer topsheet than other Tensor-rubbers and a choice of sponges, depending on who you buy from.","['I', 'sent', 'my', 'sheets', 'to', 'LawOCG', ',', 'so', 'hit', 'him', 'up', 'for', 'impressions', 'when', 'he', 'recieves', 'em.As', 'for', 'Omega', '2', ',', 'It', ""'s"", 'got', 'a', 'very', 'grippy', 'topsheet', ',', 'softer', 'topsheet', 'than', 'other', 'Tensor-rubbers', 'and', 'a', 'choice', 'of', 'sponges', ',', 'depending', 'on', 'who', 'you', 'buy', 'from', '.']",['Tensor-rubbers'],[158],0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,[],[],[],[127],['less'],['softer'],['hardness']
11119,5f6c37de220a4650ffffdde3,Banda rubbers/Advice for a red Fh rubber?,"Only rubber I've played myself is Hammond Pro Alpha, which is a great rubber for close table attackers.",descriptive,"Only rubber I've played myself is Hammond Pro Alpha, which is a great rubber for close table attackers.","['Only', 'rubber', 'I', ""'ve"", 'played', 'myself', 'is', 'Hammond', 'Pro', 'Alpha', ',', 'which', 'is', 'a', 'great', 'rubber', 'for', 'close', 'table', 'attackers', '.']",[],[],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
11120,5f6c37de220a4650ffffdde3,Banda rubbers/Advice for a red Fh rubber?,Off the bounce (euro) looping is great also against backspin.,descriptive,Off the bounce (euro) looping is great also against backspin.,"['Off', 'the', 'bounce', '(', 'euro', ')', 'looping', 'is', 'great', 'also', 'against', 'backspin', '.']",[],[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[],[],[],[],[],[],[]
11121,5f6c37de220a4650ffffdde3,Banda rubbers/Advice for a red Fh rubber?,For mid-distance control is to low.,descriptive,For mid-distance control is to low.,"['For', 'mid-distance', 'control', 'is', 'to', 'low', '.']",[],[],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,[31],['less'],['low'],[],[],[],[]
